symbol,sector,industry,beta_5Y_Monthly,bookValue_book_value_per_share,earningsQuarterlyGrowth_Quarterly_earnings_growth_year-over-year,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,forwardEps_forward_means_using_forecast_earning_for_next_12_month,forwardPE,heldPercentInsiders,heldPercentInstitutions,netIncomeToCommon_income_that_could_be_given_to_common_stockholders_ttm,pegRatio,priceToBook,trailingEps_for_recent_past_12_month,averageDailyVolume10Day,averageDailyVolume3Month,marketCap,currentRatio_mrq,debtToEquity_mrq,ebitda_ttm,ebitdaMargins_ttm,freeCashflow_ttm,grossMargins_ttm,grossProfits_ttm,operatingCashflow_ttm,operatingMargins_ttm,profitMargins_ttm,quickRatio_mrq,returnOnAssets_ttm,returnOnEquity_ttm,revenueGrowth_quarterly_revenue_growth_yoy,"revenuePerShare_ttm
totalCash_mrq",totalCashPerShare_mrq,totalDebt_mrq,totalRevenue_ttm,environmentScore,esgPerformance,governanceScore,highestControversy,peerEnvironmentPerformance,peerEsgScorePerformance,peerGovernancePerformance,peerHighestControversyPerformance,peerSocialPerformance,socialScore,totalEsg,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,twoHundredDayAverage,dividendRate,dividendYield,fiveYearAvgDividendYield,payoutRatio
NMFC,Financial Services,Asset Management,1.187841,13.144,0.232,{},10.161,3227241984,1.45,8.575862,0.1076,0.44335997,83113000,5.48,0.94605905,0.81,381980,298890,1255151616,0.469,148.978,{},0.0,83426248,1.0,294630000,76672000,0.73512,0.26167,0.389,0.0433,0.06082,0.333,3.15,0.46,1994067968,317620000,{},{},{},{},{},{},{},{},{},{},{},12.1116,13.59,11.17,12.3096,1.24,0.1,10.44,1.55
XPON,Industrials,Electrical Equipment & Parts,{},1.439,{},-4.753,5.189,33805896,-0.8,-6.85,0.43932998,0.025840001,-8816965,{},3.8082001,-1.47,36930,47106,37870744,4.173,43.867,-7112479,-1.09176,-4070225,0.28705,{},-7397702,-1.11999,-1.3534,2.257,-0.37053,-1.53461,-0.301,0.963,0.829,4356540,6514669,{},{},{},{},{},{},{},{},{},{},{},4.8512,7.15,0.9,3.30656,{},{},{},0.0
NUBI,Financial Services,Shell Companies,{},-0.393,{},{},{},165772320,{},{},0.0,0.98524004,753564,{},{},0.07,15160,54258,165257824,0.105,{},{},0.0,{},0.0,{},-1244840,0.0,0.0,0.036,{},{},{},{},0.006,1235000,{},{},{},{},{},{},{},{},{},{},{},{},10.5468,11.61,9.97,10.316745,{},{},{},0.0
FCNCO,Financial Services,Banks—Regional,0.987676,1262.742,34.122,{},2.272,8868820992,{},{},0.0,0.13567,10288000000,{},0.016321626,57.468,16440,19346,{},{},{},{},0.0,{},0.0,3999000000,1852000000,0.2475,2.65053,{},0.06401,0.69461995,-0.161,256.459,2800.759,48355999744,3903000064,{},{},{},{},{},{},{},{},{},{},{},20.38864,24.28,16.58,20.7714,1.41,0.0687,{},{}
NTWK,Technology,Software—Application,0.659507,3.339,{},-5.854,0.445,23208218,0.38,{},0.19761999,0.23885,-2336472,{},0.6948188,-0.21,14980,10730,26213680,2.312,17.688,-3964345,-0.07602,-6870675,0.37547,26686267,99290,-0.14241,-0.04481,2.176,-0.06554,-0.0094800005,-0.088,4.629,1.351,7256953,52147296,{},{},{},{},{},{},{},{},{},{},{},2.2918,3.8,2.11,2.7784,{},{},{},0
CDAQU,Financial Services,Shell Companies,{},-0.349,-0.526,{},{},274632704,{},{},0.0,0.03768,7752850,{},{},-0.589,170,195,{},1.015,{},{},0.0,332868,0.0,{},-662407,0.0,0.0,0.729,-0.00352,{},{},{},0.029,327321,{},{},{},{},{},{},{},{},{},{},{},{},10.3073,11.06,9.67,10.096315,{},{},{},{}
HPF,Financial Services,Asset Management,0.818989,17.13,{},{},14.389,532076256,{},{},0.00041,0.07026,-20547684,{},0.87624055,-0.97,49730,42531,323112768,5.817,56.204,{},0.0,19804844,1.0,36332223,31056680,0.87483,-0.55569,1.279,0.03358,-0.052210003,0.035,1.722,0.005,206700000,36976872,7.69,LAG_PERF,7.8,,4.360769230769231,27.628461538461544,9.184615384615386,{},10.476153846153846,10.3,29.33,14.7882,19.38,13.93,15.84085,1.48,0.0994,7.99,{}
EGGF,Financial Services,Shell Companies,{},-0.484,-0.651,{},{},290893856,{},{},0.0,1.0865899,872031,{},{},0.03,2920,70393,101623920,0.06,{},{},0.0,1332804,0.0,{},-1327013,0.0,0.0,0.035,-0.0119,{},{},{},0.007,1400000,{},{},{},{},{},{},{},{},{},{},{},{},10.2648,10.35,9.71,10.05258,{},{},{},0
VNOM,Energy,Oil & Gas Midstream,1.92007,9.25,1.046,5.578,5.314,4205447168,1.86,13.876344,0.01523,0.75054,168662000,0.35,2.7902703,2.22,352660,389325,4199983872,4.477,30.324,753897984,0.95263,285376640,1.0,823610000,671201024,0.79512,0.21359,4.315,0.13064,0.2713,-0.164,10.62,0.126,695153984,791388032,{},{},{},{},{},{},{},{},{},{},{},26.6182,36.1,24.27,29.812075,2.12,0.0806,7.35,1.0933
MODN,Technology,Software—Application,0.702527,2.419,{},-274.932,5.7,1345790080,1.12,30.584822,0.06372,1.03432,-51699000,0.37,14.160811,-1.39,238130,273578,1322558208,3.699,317.898,-4895000,-0.02073,27706624,0.5582,122044000,16209000,-0.05789,-0.21897,3.579,-0.02022,-0.46141,0.175,6.314,7.102,292977984,236100000,{},{},{},{},{},{},{},{},{},{},{},31.8058,43.18,24.2,35.2648,{},{},{},0
CF,Basic Materials,Agricultural Inputs,1.003521,27.976,-0.366,3.001,1.628,16817550336,7.15,9.8069935,0.00417,0.94539,3023000064,-0.25,2.5064342,15.02,2344840,2653810,13673400320,4.464,40.198,5603999744,0.5425,2618125056,0.48654,5861000000,3411000064,0.46041,0.29264,3.836,0.21872999,0.47645,-0.298,51.598,14.493,3252000000,10330000384,16.82,OUT_PERF,5.49,1,13.391718750000003,26.930468749999992,7.6271875000000025,1.46875,5.912812500000003,7.73,30.03,68.2926,119.6,60.08,85.06625,1.6,0.0227,2.52,0.1065
PHR,Healthcare,Health Information Services,0.613324,4.92,{},-10.318,4.939,1488582144,-0.79,-37.36709,0.04147,0.94677,-162435008,{},6,-2.96,493820,441341,1663974528,2.894,5.546,-144275008,-0.47868,-36703248,0.6227,171643000,-70149000,-0.54366,-0.53893,2.443,-0.25195,-0.50381,0.323,5.709,2.791,14620000,301400992,{},{},{},{},{},{},{},{},{},{},{},31.1898,40.0,21.67,30.8768,{},{},{},0
IOBT,Healthcare,Biotechnology,{},4.311,{},1.049,{},-75704392,-2.13,-0.8685446,0.11136,0.78955,-71298000,{},0.4291348,-2.31,85980,164818,53308304,12.771,2.279,-72187504,0.0,-26925124,0.0,{},-53575000,0.0,0.0,12.507,-0.26672,-0.44854,{},{},4.46,2831000,{},{},{},{},{},{},{},{},{},{},{},{},1.97704,5.12,1.56,2.38449,{},{},{},0
EXC,Utilities,Utilities—Regulated Electric,0.610915,25.203,0.121,12.891,4.189,80915464192,2.51,16.278885,0.00201,0.84914,2241999872,2.7,1.6212356,2.26,4997070,6326130,40638091264,0.961,166.696,6277000192,0.325,-3118000128,0.43175998,8114000000,3572000000,0.18768999,0.11608,0.48,0.0239,0.09235,0.044,19.519,0.525,41784000512,19313999872,8.83,AVG_PERF,6.59,3,12.56307692307692,29.193925233644865,6.411346153846154,1.794392523364486,9.910096153846151,8.97,24.39,40.9316,47.23,35.19,40.84775,1.44,0.0361,3.3,0.6073
DOW,Basic Materials,Chemicals,1.325534,28.532,{},7.054,0.957,51208388608,4.59,11.333333,0.0012899999,0.63971,2900999936,-7.74,1.8232161,4.01,3646560,4474636,37086986240,1.845,80.014,7258999808,0.13571,3712124928,0.13276,8564000000,6407000064,0.08759,0.05459,0.925,0.04775,0.15022,-0.224,74.873,5.57,16574999552,53489000448,{},{},{},{},{},{},{},{},{},{},{},52.4048,60.875,42.91,52.30685,2.8,0.0529,{},0.6931
CCEL,Healthcare,Medical Care Facilities,0.323591,-0.081,-0.078,9.614,1.897,58618116,0.15,42.6,0.47586,0.12586,2706173,{},{},0.32,10360,7921,53060004,0.562,{},6097002,0.1973,-6808467,0.71664,21544391,8709814,0.14964,0.08757,0.462,0.04779,1.5187199,0.078,3.657,0.267,11009869,30902632,{},{},{},{},{},{},{},{},{},{},{},5.258,8.12,2.69,4.63495,{},{},{},0
CLMT,Energy,Oil & Gas E&P,2.041197,-6.604,{},11.673,0.762,3526336000,1.83,8.5245905,0.22026,0.28679,-40100000,1.35,{},-0.5,55680,83278,1247349632,0.632,{},302100000,0.06531,-418262496,0.09869,370200000,76800000,0.043709997,-0.008669999,0.243,0.05096,{},-0.056,58.166,0.14,2014300032,4625699840,{},{},{},{},{},{},{},{},{},{},{},16.372,20.5,8.75,16.66125,{},{},{},0
TGNA,Communication Services,Broadcasting,0.617144,14.009,-0.223,5.666,1.891,6135874048,3.35,4.814925,0.00912,0.90446997,599590976,0.86,1.1514026,2.65,1986460,1834766,3270792704,3.702,99.3,1082936064,0.33368,619985600,0.47351003,1586024000,786278016,0.29689,0.18504,3.521,0.08453,0.20706,-0.044,14.482,3.036,3146838016,3245448960,,UNDER_PERF,,1,0.5145833333333333,14.155862068965519,6.485833333333332,1.2413793103448276,6.9508333333333345,,14.28,16.142,22.29,15.09,18.54385,0.46,0.027999999,1.98,0.1423
FLFVW,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0325,0.0325,{},{},{},{},{}
SYRS,Healthcare,Biotechnology,1.659154,5.231,{},0.288,-3.253,-40224624,-4.77,-0.6289308,0.01021,0.54535,-93297000,{},0.5735041,-4.66,70510,81158,64233600,7.373,59.178,-139508000,0,-84043376,1,14880000,-129949000,-11.517099,0,7.115,-0.49815,-1.10088,-0.46,0.686,8.05,63174000,12367000,{},{},{},{},{},{},{},{},{},{},{},3.3684,11.0,2.42,3.9294,{},{},{},0
USA,Financial Services,Asset Management,1.143309,5.899,-0.669,{},{},{},0.01,{},0.00068000006,0.10687,-412162240,{},1.0874724,-1.6,491910,582418,1737547648,1.054,0.235,{},0,{},1,24600914,{},0.357,0,1.053,0.00296,-0.22587,0.164,0.093,{},3686675,24600914,4.03,AVG_PERF,7.91,,3.2625,21.4525,7.58,{},9.845,10.19,22.31,6.1038,7.04,5.41,6.0639,0.6,0.094799995,10.53,{}
HGTY,Financial Services,Insurance—Property & Casualty,0.728848,0.745,{},-175.703,1.406,1178791936,0.27,34.296295,0.11327,0.83746004,2472000,{},12.42953,-0.09,68610,96636,5430740480,1.332,47.061,-6709000,-0.008,-83344000,0.52013,405644000,58042000,-0.05631,0.0029499999,0.399,-0.02537,-0.08805,0.301,10.107,0.751,167875008,838129024,{},{},{},{},{},{},{},{},{},{},{},9.3674,13.58,7.72,9.051,{},{},{},0
MSB,Basic Materials,Steel,0.962323,0.95,-0.925,{},-55.613,256119744,-19.83,{},0.00077,0.37535,-7262961,{},21.210526,-0.55,24380,37076,264368000,67.77,{},{},0,-12894726,0,7741974,-97540,1.5596001,0,67.247,-0.15142,-0.3362,-0.87,-0.351,0.999,0,-4605425,{},{},{},{},{},{},{},{},{},{},{},20.3404,29.95,16.56,21.49155,5.05,0.24239999,12.17,{}
GDEV,Communication Services,Electronic Gaming & Multimedia,{},-0.375,{},{},{},{},{},{},0.86129,0.00199,{},{},{},0.59,8810,15971,1169953280,{},{},{},0,{},0,306029000,{},0,0,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},7.18802,8.5,3.1,6.329755,{},{},{},0
DADA,Consumer Cyclical,Internet Retail,1.526256,25.998,{},1.387,-0.183,-1812145920,0.48,11.083334,0.03105,0.23889999,-1754212992,-20.82,0.20463113,-0.94,931010,1675271,1363164928,3.527,1.947,-1306602240,-0.13174,{},0.4041,3624585000,{},-0.18952,-0.17688,2.921,-0.13077,-0.23567,0.272,38.592,12.958,129697000,9917773824,{},{},{},{},{},{},{},{},{},{},{},5.6912,15.59,2.98,7.2282,{},{},{},0
LGHLW,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0114,0.0106,{},{},{},{},{}
CNOBP,Financial Services,Banks—Regional,1.109859,27.645,-0.206,{},3.667,1080093312,{},{},{},{},112471000,{},0.58383065,3.15,14040,10253,{},{},{},{},0,{},0,297612000,147307008,0.57334,0.40322,{},0.01298,0.10196,-0.043,7.519,15.615,942387968,294526016,{},{},{},{},{},{},{},{},{},{},{},15.76808,24.05,14.0,18.8627,1.31,0.081999995,{},{}
HPLT,Financial Services,Shell Companies,{},-1.851,{},{},{},73503704,{},{},0.58509,8.26324,901589,{},{},0.03,5620,4686,74183984,0.989,{},{},0,{},0,{},-1363235,0,0,0.003,{},{},{},{},0.084,0,{},{},{},{},{},{},{},{},{},{},{},{},10.1298,11.48,9.76,10.042425,{},{},{},0
FLNC,Utilities,Utilities—Renewable,{},3.462,{},-16.088,1.726,2915804672,0.17,149.7647,0.34383,0.65194,-105992000,0.18,7.3541307,-0.99,1314580,1311993,4468662272,1.345,0.595,-181243008,-0.10727,-297398016,0.03372,-11397000,-304800000,-0.11276,-0.06273,0.637,-0.06906,-0.29627,1.037,16.803,2.261,3381000,1689638016,{},{},{},{},{},{},{},{},{},{},{},23.0474,29.55,8.65,19.181925,{},{},{},0
CR,Industrials,Specialty Industrial Machinery,1.476408,35.526,0.007,8.526,1.642,5495937024,5.02,17.42231,0,0.00296,401800000,{},2.4618587,6.94,466080,390440,4961623040,1.74,59.741,644600000,0.19263001,514950016,0.40525,1339800000,-166900000,0.1571,0.12007,1.136,0.075619996,0.21464,-0.033,59.49,8.993,1205400064,3346299904,{},{},{},{},{},{},{},{},{},{},{},77.1968,89.27,67.28,77.34851,0.72,0.0085,2,0.26700002
PNFP,Financial Services,Banks—Regional,1.092957,71.874,0.063,{},2.435,3701750784,6.75,8.401482,0.022149999,0.85353994,553710976,0.27,0.78901964,7.44,670230,682950,4352118272,{},{},{},0,{},0,1477492000,912680000,0.47307,0.37422,{},0.013459999,0.103769995,0.126,20.055,46.041,2816858112,1520233984,{},{},{},{},{},{},{},{},{},{},{},52.5278,89.0,43.31,68.46805,0.88,0.0163,1.09,0.120900005
AGS,Consumer Cyclical,Gambling,2.369718,1.45,{},5.799,2.323,742944320,0.2,26.324999,0.019550001,0.75759006,4225000,7.83,3.6310344,0.11,842430,516870,199632480,2.992,1033.877,128119000,0.40068,-2261000,0.71804,223310000,74806000,0.14408,0.01321,2.062,0.04249,0.095369995,0.142,8.531,0.921,568188032,319753984,{},{},{},{},{},{},{},{},{},{},{},5.6244,8.4,4.21,5.8918,{},{},{},0
SITE,Industrials,Industrial Distribution,1.44507,28.962,{},20.836,2.072,8386514432,4.57,36.319473,0.01422,1.08182,208600000,-50.63,5.7309575,4.52,283170,291408,7553152000,2.579,76.234,402500000,0.09947,83925000,0.35571,1421500000,182900000,0.07186,0.05155,0.92,0.06937,0.17368999,0.04,89.773,1.085,993100032,4046599936,{},{},{},{},{},{},{},{},{},{},{},151.6642,169.26,97.36,133.6477,{},{},{},0
APEI,Consumer Defensive,Education & Training Services,0.783098,15.977,{},6.734,0.37,222212928,-0.2,-25,0.0299,0.99141,-127571000,-0.33,0.31294987,-6.76,456360,236565,88593000,2.469,61.182,33001000,0.05489,8669250,0.51658,317856000,16718000,0.00211,-0.20966999,1.906,0.00114,-0.32911,-0.033,31.808,6.15,209800000,601270016,{},{},{},{},{},{},{},{},{},{},{},5.264,16.79,3.76,9.3814,{},{},{},0
ASXC,Healthcare,Medical Devices,1.652322,0.333,{},-0.965,9.66,67588128,-0.27,-1.8066666,0.01154,0.10836001,-78651000,{},1.4648649,-0.34,558820,680920,126397272,6.579,6.702,-70037000,0,-31867124,-0.71445,-3785000,-60242000,-11.21895,0,5.3,-0.37298,-0.68231004,-0.084,0.03,0.236,5343000,6997000,{},{},{},{},{},{},{},{},{},{},{},0.5652,1.18,0.28,0.55455,{},{},{},0
FGH,Consumer Cyclical,Leisure,1.272535,2.195,{},-68.307,1,41325760,{},{},0.16499001,0.3698,-10341000,{},0.84738046,-0.53,7020,20338,36213456,1.21,23.962,-605000,-0.01464,-896125,0.26338,10916000,-2417000,-0.04603,-0.25027,0.632,-0.01587,-0.21314,0.008,2.128,0.223,10240000,41320000,{},{},{},{},{},{},{},{},{},{},{},1.8602,2.99,1.51,2.1883,{},{},{},0
BYNO,Financial Services,Shell Companies,{},-0.242,{},{},{},252715104,{},{},0.05449,0.76832,2478890,{},{},0.11,74970,28825,253527008,0.557,{},{},0,378524,0,{},-790209,0,0,0.437,-0.00417,{},{},{},0.024,0,{},{},{},{},{},{},{},{},{},{},{},{},10.51592,11.63,9.93,10.267455,{},{},{},0
ADRT,Financial Services,Shell Companies,{},-0.228,{},{},{},165968096,{},{},0.24454,0.63313,715480,{},{},0.13,89110,102938,156658752,1.001,{},{},0,-1007141,0,{},-1604437,0,0,0.001,-0.00765,{},{},{},0.004,0,{},{},{},{},{},{},{},{},{},{},{},{},10.6729,15.18,9.98,10.364865,{},{},{},0
CMAXW,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.34,0.34,{},{},{},{},{}
MF,Consumer Defensive,Grocery Stores,{},-153.432,{},0.064,-0.023,-153175856,-43.86,{},0,0.01121,-2901349888,{},{},75.88,163030,359185,4058807,0.36,{},-2382351104,-0.36076,-1035826368,0.14955,820497000,-1338433024,-0.3822,-0.43935,0.16,-0.54835,-20.03656,-0.101,849.736,35.795,72618000,6603666944,{},{},{},{},{},{},{},{},{},{},{},0.64926,13.32,0.45,1.51836,{},{},{},0
UTL,Utilities,Utilities—Diversified,0.523239,30.225,0.121,9.763,2.455,1450504064,2.88,17.545137,0.01832,0.75587,44000000,3.24,1.6717948,2.8,70970,75493,812886208,0.781,131.785,148572000,0.25148,-42905000,0.29518998,169000000,83900000,0.14349,0.07447,0.411,0.03346,0.09247,0.143,36.946,0.423,641000000,590800000,{},{},{},{},{},{},{},{},{},{},{},54.4548,60.59,44.67,52.9858,1.62,0.0319,2.98,0.5727
TCBS,Financial Services,Banks—Regional,{},17.645,{},{},8.555,90309248,{},{},0.27206,0.049200002,346000,{},0.6885803,0.12,2530,6208,40990696,{},{},{},0,{},0,{},2918000,0.03742,0.032780003,{},0.00088,0.0061000003,-0.51,3.463,3.007,62331000,10556000,{},{},{},{},{},{},{},{},{},{},{},11.34068,16.46,9.38,14.09699,0.12,0.0101,{},0.1667
ELS,Real Estate,REIT—Residential,0.693989,7.743,-0.006,24.91,10.931,15965331456,1.98,32.694443,0.049250003,0.96481,284060000,5.88,8.360455,1.52,1065920,842260,12770791424,0.355,225.575,640931008,0.43883,456423488,0.49896,720046000,616465984,0.29595,0.19450001,0.1,0.050100002,0.19596,0.028,7.86,0.14,3413827072,1460558976,{},{},{},{},{},{},{},{},{},{},{},66.5862,77.36,56.91,65.96115,1.79,0.027,2.06,1.1036
ACRE,Real Estate,REIT—Mortgage,1.427254,13.156,{},{},50.061,2085172224,1.26,7.857064,0.059559997,0.47208,7145000,6.62,0.7525008,0.11,640660,770328,542318528,94.63,234.963,{},0,{},1,60110000,52198000,0.31774,0.17153999,94.63,0.0028799998,0.0101499995,-0.771,0.778,2.86,1687747968,41653000,{},{},{},{},{},{},{},{},{},{},{},9.236,14.01,7.52,10.58445,1.4,0.1382,10.28,12.181801
TAYD,Industrials,Specialty Industrial Machinery,0.798239,13.592,{},8.778,1.767,69138928,{},{},0.14887999,0.10902,5735801,{},1.9070041,1.63,12530,11046,90957168,6.709,{},7875965,0.20124,-1184850,0.36511,8627512,4261129,0.16621,0.14656,5.659,0.08127,0.12838,0.61,11.176,6.458,0,39136868,{},{},{},{},{},{},{},{},{},{},{},21.4628,26.4,8.13,16.10605,{},{},{},0
